id,zh,zh_CN,zh_TW,,,
这是正文部分这是正文部分这是正文部分这是正文部分1,感谢您游玩《指向黑块》。\n该游戏是基于《别踩白块儿》自制平台的延续，游戏提供了三维空间让黑色方块自由移动，打破传统游戏二维空间的约束。\n玩家可以通过点击黑色方块获取分数，游戏会根据玩家所点击黑色方块的节奏与手法进行评价；根据黑色方块的运动速度，测试自己的手速。, 感谢您游玩《指向黑块》。\n该游戏是基于《别踩白块儿》自制平台的延续，游戏提供了三维空间让黑色方块自由移动，打破传统游戏二维空间的约束。\n玩家可以通过点击黑色方块获取分数，游戏会根据玩家所点击黑色方块的节奏与手法进行评价；根据黑色方块的运动速度，测试自己的手速。,感謝您遊玩《指向黑塊》。 \n該遊戲是基於《別踩白塊兒》自製平臺的延續，遊戲提供了三維空間讓黑色方塊自由移動，打破傳統遊戲二維空間的約束。\n玩家可以透過點擊黑色方塊獲取分數，遊戲會根據玩家所點擊黑色方塊的節奏與手法進行評價； 根據黑色方塊的運動速度，測試自己的手速。,,,
这是正文部分这是正文部分这是正文部分这是正文部分2,在你游玩本游戏的时候，必须遵循以下要求\n1.尊重他人，不辱骂其他玩家；和谐交流，做文明素质玩家。\n2.不要作出令其他玩家感到不愉快的行为，包括但不限于侮辱诋毁该游戏的作者、游戏作弊并制造虚假成绩、在网络上随意引战、发表阴阳怪气的言论等。\n3.游戏允许被二次修改、创作，但修改软件时请保留本文的原作者的网名；根据游戏修改内容，修改者可以在本文注释自己的标识名；但不允许利用该软件谋取非法利益，包括但不限于插入广告、软件捆绑、倒卖软件、植入病毒等。\n4.制作游戏曲谱时，请考虑曲谱的版权信息，避免伤害第三方权益。\n5.游戏内不允许出现出现色情裸露、恐怖威胁、宗教宣传、邪教推广、毒品交易、博彩广告、政治讨论、分裂国家、危害国家安全等内容。\n6.游玩游戏时，请遵守当地法律规定。,在你游玩本游戏的时候，必须遵循以下要求\n1.尊重他人，不辱骂其他玩家；和谐交流，做文明素质玩家。\n2.不要作出令其他玩家感到不愉快的行为，包括但不限于侮辱诋毁该游戏的作者、游戏作弊并制造虚假成绩、在网络上随意引战、发表阴阳怪气的言论等。\n3.游戏允许被二次修改、创作，但修改软件时请保留本文的原作者的网名；根据游戏修改内容，修改者可以在本文注释自己的标识名；但不允许利用该软件谋取非法利益，包括但不限于插入广告、软件捆绑、倒卖软件、植入病毒等。\n4.制作游戏曲谱时，请考虑曲谱的版权信息，避免伤害第三方权益。\n5.游戏内不允许出现出现色情裸露、恐怖威胁、宗教宣传、邪教推广、毒品交易、博彩广告、政治讨论、分裂国家、危害国家安全等内容。\n6.游玩游戏时，请遵守当地法律规定。,在您游玩本游戏的時候，必須遵循以下要求\n1.尊重他人，不辱罵其他玩家；和諧交流，做文明素質玩家。\n2.不要作出令其他玩家感到不愉快的行為，包括但不限於侮辱詆毀該遊戲的作者、遊戲作弊並製造虛假成績、在網絡上隨意引戰、發表陰陽怪氣的言論等。\n3.遊戲允許被二次修改、創作，但修改軟件時請保留本文的原作者的網名；根據遊戲修改內容，修改者可以在本文註釋自己的標識名；但不允許利用該軟件謀取非法利益，包括但不限於插入廣告、倒賣軟體、植入病毒等。\n4.製作遊戲曲譜時，請考慮曲譜的版權信息，避免傷害第三方權益。\n5.遊戲內不允許出現色情裸露、恐怖威脅、宗教宣傳、邪教推廣、毒品交易、博彩廣告、危害國家安全等內容。\n6.台灣是中華人民共和國的一個省，嚴禁宣傳台獨言論！請台灣玩家承認一個中國原則！,, 根據遊戲修改內容，修改者可以在本文註釋自己的標識名, 但不允許利用該軟體謀取非法利益，包括但不限於插入廣告、軟體捆綁、倒賣軟體、植入病毒等。\n4.製作遊戲曲譜時，請考慮曲譜的版權資訊，避免傷害第三方權益。\n5.遊戲內不允許出現出現色情裸露、恐怖威脅、宗教宣傳、毒品交易、賭博博彩、政治討論、分裂國家、危害國家安全、人身攻擊、開盒掛人等內容。\n6.遊玩遊戲時，請遵守當地法律規定。
玩家守则,玩家守则,玩家守则,玩家守則,,,
该软件遵循MIT协议,该软件遵循MIT协议,该软件遵循MIT协议,該軟體遵循MIT協定,,,
健康游戏忠告,健康游戏忠告,健康游戏忠告,健康遊戲忠告,,,
抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。\n适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。,抵制不良遊戲，拒絕盜版遊戲。注意自我保護，謹防受騙上當。\n適度遊戲益腦，沉迷遊戲傷身。合理安排時間，享受健康生活。,,,
测试版本，不代表最终品质,测试版本，不代表最终品质,测试版本，不代表最终品质,測試版本，不代表最終品質,,,
文件大小,文件大小,文件大小,檔案大小,,,
点击以开始游戏,点击以开始游戏,点击以开始游戏,點擊以開始遊戲,,,
